trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.99}",30,0,-159.8084876858181,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.98}",30,18,-24.18489322816801,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.9, 'e': 0.97}",35,0,-245.35018568775303,"{0: 15, 1: 3, 2: 11, 3: 5, 4: 1}",0
4,False,"{'a': 0.9, 'e': 0.96}",30,0,-58.76886103836107,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.9, 'e': 0.95}",25,0,-115.94941217011386,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.9, 'e': 0.94}",20,0,-79.02373019306411,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.9299999999999999}",20,0,-10.94559155620978,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.9, 'e': 0.9199999999999999}",30,0,-231.19887152080142,"{0: 13, 1: 5, 2: 8, 3: 1, 4: 3}",0
9,False,"{'a': 0.9, 'e': 0.9099999999999999}",20,0,-61.564027046156454,"{0: 11, 1: 6, 2: 1, 3: 2, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.8999999999999999}",20,0,-80.12317634861708,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.8899999999999999}",20,0,-48.37194394460521,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.9, 'e': 0.8799999999999999}",20,0,-103.04547638577594,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.9, 'e': 0.8699999999999999}",25,0,-97.6516567392605,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.9, 'e': 0.8599999999999999}",20,0,-57.36278008770348,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
15,False,"{'a': 0.9, 'e': 0.8499999999999999}",20,3,-14.842427956742915,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.9, 'e': 0.8399999999999999}",20,0,-108.45918149460255,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.9, 'e': 0.8299999999999998}",25,0,-72.19911165614936,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.9, 'e': 0.8199999999999998}",20,0,-74.4954821105675,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.9, 'e': 0.8099999999999998}",20,0,-103.24129898830697,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
20,False,"{'a': 0.9, 'e': 0.7999999999999998}",25,0,-104.03781022293904,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
