trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-258.2451157364365,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 5}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.3486217488131,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-252.5425575620366,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 6}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-222.6577292236524,"{0: 11, 1: 2, 2: 8, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.49779985547045,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-162.26522225805527,"{0: 21, 1: 2, 2: 2, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-22.08681881947908,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.15606712702194,"{0: 15, 1: 6, 2: 3, 3: 5, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.697865052877916,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-156.2999824068536,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.85188370528188,"{0: 10, 1: 1, 2: 6, 3: 3, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.53981950743596,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.14695183584728,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,14,-45.63330138653729,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.73840296737362,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.365087612867335,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-79.22838881921521,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.07939662353846,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,1,-54.44895763057252,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-185.9557054528378,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-174.1809571117759,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-223.34883632290882,"{0: 17, 1: 1, 2: 8, 3: 0, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-187.71610998878117,"{0: 12, 1: 3, 2: 0, 3: 1, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-116.70321091948651,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-59.89776411988914,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.90519377758633,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.544687478042576,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-83.82386963600547,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.26461310219895,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-131.95517461369874,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
